timestamp,level,message,user_id,route,status_code
2026-01-23T10:00:00Z,ERROR,"User auth failed",123,/api/login,401
2026-01-23T10:01:00Z,INFO,"User logged in",123,/api/login,200
2026-01-23T10:02:00Z,ERROR,"MCP timeout",456,/api/mcp,500
2026-01-23T10:03:00Z,ERROR,"RAG index not found",789,/api/rag/ask,500
2026-01-23T10:04:00Z,WARN,"Slow response",123,/api/team/ask,504
2026-01-23T10:05:00Z,ERROR,"User auth failed",321,/api/login,401
2026-01-23T10:06:00Z,ERROR,"User auth failed",654,/api/login,401
2026-01-23T10:07:00Z,ERROR,"MCP timeout",456,/api/mcp,500
2026-01-23T10:08:00Z,INFO,"Team question handled",999,/api/team/ask,200
2026-01-23T10:09:00Z,ERROR,"Ollama connection failed",111,/api/local-llm/ask,500
